0_0_1_1_1,2024-01-02 01:47:06,Success,0,0,1,1,1,850 PC,70,%/m obscuration,Degrees C,ppm (parts per million),101,27,7,0,0,0
0_0_2_2_1,2024-01-02 01:47:07,Success,0,0,2,2,1,850 PC,80,%/m obscuration,Degrees C,ppm (parts per million),105,28,10,0,0,0
0_0_3_3_1,2024-01-02 01:47:07,Failure,0,0,3,3,1,850 PC,90,%/m obscuration,Degrees C,ppm (parts per million),104,28,12,0,0,0
0_0_4_4_1,2024-01-02 01:47:07,Success,0,0,4,4,1,850 PC,85,%/m obscuration,Degrees C,ppm (parts per million),102,25,6,0,0,0
0_0_5_5_1,2024-01-02 01:47:07,Success,0,0,5,5,1,850 PC,74,%/m obscuration,Degrees C,ppm (parts per million),102,33,8,0,0,0
0_0_6_6_1,2024-01-02 01:47:07,Failure,0,0,6,6,1,850 PC,66,%/m obscuration,Degrees C,ppm (parts per million),106,33,6,0,0,0
0_0_7_7_1,2024-01-02 01:47:07,Success,0,0,7,7,1,850 PC,72,%/m obscuration,Degrees C,ppm (parts per million),109,31,5,0,0,0
0_0_8_8_1,2024-01-02 01:47:07,Failure,0,0,8,8,1,850 PC,80,%/m obscuration,Degrees C,ppm (parts per million),111,32,5,0,0,0
0_0_1_1_2,2024-01-02 01:47:07,Success,0,0,1,1,2,855 P,81,%/m obscuration,Invalid,Invalid,108,0,0,0,0,0
0_0_2_2_2,2024-01-02 01:47:07,Success,0,0,2,2,2,855 P,81,%/m obscuration,Invalid,Invalid,113,0,0,0,0,0
0_0_3_3_2,2024-01-02 01:47:07,Success,0,0,3,3,2,855 P,81,%/m obscuration,Invalid,Invalid,100,0,0,0,0,0
0_0_4_4_2,2024-01-02 01:47:07,Success,0,0,4,4,2,855 P,81,%/m obscuration,Invalid,Invalid,104,0,0,0,0,0
0_0_5_5_2,2024-01-02 01:47:07,Success,0,0,5,5,2,855 P,81,%/m obscuration,Invalid,Invalid,101,0,0,0,0,0
0_0_6_6_2,2024-01-02 01:47:07,Success,0,0,6,6,2,855 P,81,%/m obscuration,Invalid,Invalid,105,0,0,0,0,0
0_0_7_7_2,2024-01-02 01:47:07,Success,0,0,7,7,2,855 P,81,%/m obscuration,Invalid,Invalid,108,0,0,0,0,0
0_0_1_1_3,2024-01-02 01:47:07,Success,0,0,1,1,3,840 H,96,Invalid,Degrees C,Invalid,0,25,0,0,0,0
0_0_2_2_3,2024-01-02 01:47:07,Success,0,0,2,2,3,840 H,96,Invalid,Degrees C,Invalid,0,28,0,0,0,0
0_0_3_3_3,2024-01-02 01:47:07,Failure,0,0,3,3,3,840 H,96,Invalid,Degrees C,Invalid,0,28,0,0,0,0
0_0_4_4_3,2024-01-02 01:47:07,Success,0,0,4,4,3,840 H,96,Invalid,Degrees C,Invalid,0,25,0,0,0,0
0_0_5_5_3,2024-01-02 01:47:07,Success,0,0,5,5,3,840 H,96,Invalid,Degrees C,Invalid,0,33,0,0,0,0
0_0_6_6_3,2024-01-02 01:47:07,Success,0,0,6,6,3,840 H,96,Invalid,Degrees C,Invalid,0,33,0,0,0,0
0_0_1_1_4,2024-01-02 01:47:07,Success,0,0,1,1,4,835 PH,132,%/m obscuration,Degrees C,Invalid,105,26,0,0,0,0
0_0_2_2_4,2024-01-02 01:47:07,Success,0,0,2,2,4,835 PH,132,%/m obscuration,Degrees C,Invalid,106,29,0,0,0,0
0_0_3_3_4,2024-01-02 01:47:07,Failure,0,0,3,3,4,835 PH,132,%/m obscuration,Degrees C,Invalid,109,28,0,0,0,0
0_0_4_4_4,2024-01-02 01:47:07,Success,0,0,4,4,4,835 PH,132,%/m obscuration,Degrees C,Invalid,104,25,0,0,0,0
0_0_5_5_4,2024-01-02 01:47:07,Success,0,0,5,5,4,835 PH,132,%/m obscuration,Degrees C,Invalid,111,33,0,0,0,0
0_0_1_1_1,2024-01-02 01:48:23,Success,0,0,1,1,1,850 PC,70,%/m obscuration,Degrees C,ppm (parts per million),100,27,7,0,0,0
0_0_2_2_1,2024-01-02 01:48:23,Success,0,0,2,2,1,850 PC,80,%/m obscuration,Degrees C,ppm (parts per million),105,28,10,0,0,0
0_0_3_3_1,2024-01-02 01:48:23,Success,0,0,3,3,1,850 PC,90,%/m obscuration,Degrees C,ppm (parts per million),104,28,12,0,0,0
0_0_4_4_1,2024-01-02 01:48:23,Success,0,0,4,4,1,850 PC,85,%/m obscuration,Degrees C,ppm (parts per million),103,25,6,0,0,0
0_0_5_5_1,2024-01-02 01:48:23,Success,0,0,5,5,1,850 PC,74,%/m obscuration,Degrees C,ppm (parts per million),102,33,8,0,0,0
0_0_6_6_1,2024-01-02 01:48:23,Success,0,0,6,6,1,850 PC,66,%/m obscuration,Degrees C,ppm (parts per million),106,33,6,0,0,0
0_0_7_7_1,2024-01-02 01:48:23,Success,0,0,7,7,1,850 PC,72,%/m obscuration,Degrees C,ppm (parts per million),110,31,5,0,0,0
0_0_8_8_1,2024-01-02 01:48:23,Success,0,0,8,8,1,850 PC,80,%/m obscuration,Degrees C,ppm (parts per million),111,32,5,0,0,0
0_0_1_1_2,2024-01-02 01:48:23,Success,0,0,1,1,2,855 P,81,%/m obscuration,Invalid,Invalid,108,0,0,0,0,0
0_0_2_2_2,2024-01-02 01:48:23,Failure,0,0,2,2,2,855 P,81,%/m obscuration,Invalid,Invalid,113,0,0,0,0,0
0_0_3_3_2,2024-01-02 01:48:23,Success,0,0,3,3,2,855 P,81,%/m obscuration,Invalid,Invalid,99,0,0,0,0,0
0_0_4_4_2,2024-01-02 01:48:23,Success,0,0,4,4,2,855 P,81,%/m obscuration,Invalid,Invalid,104,0,0,0,0,0
0_0_5_5_2,2024-01-02 01:48:23,Success,0,0,5,5,2,855 P,81,%/m obscuration,Invalid,Invalid,101,0,0,0,0,0
0_0_6_6_2,2024-01-02 01:48:23,Success,0,0,6,6,2,855 P,81,%/m obscuration,Invalid,Invalid,105,0,0,15,0,0
0_0_7_7_2,2024-01-02 01:48:23,Success,0,0,7,7,2,855 P,81,%/m obscuration,Invalid,Invalid,108,0,0,0,0,0
0_0_1_1_3,2024-01-02 01:48:23,Failure,0,0,1,1,3,840 H,96,Invalid,Degrees C,Invalid,0,25,0,0,0,0
0_0_2_2_3,2024-01-02 01:48:23,Success,0,0,2,2,3,840 H,96,Invalid,Degrees C,Invalid,0,28,0,0,0,0
0_0_3_3_3,2024-01-02 01:48:23,Success,0,0,3,3,3,840 H,96,Invalid,Degrees C,Invalid,0,28,0,0,0,0
0_0_4_4_3,2024-01-02 01:48:23,Success,0,0,4,4,3,840 H,96,Invalid,Degrees C,Invalid,0,24,0,0,0,0
0_0_5_5_3,2024-01-02 01:48:23,Success,0,0,5,5,3,840 H,96,Invalid,Degrees C,Invalid,0,33,0,0,0,0
0_0_6_6_3,2024-01-02 01:48:23,Success,0,0,6,6,3,840 H,96,Invalid,Degrees C,Invalid,0,33,0,0,0,0
0_0_1_1_4,2024-01-02 01:48:23,Failure,0,0,1,1,4,835 PH,132,%/m obscuration,Degrees C,Invalid,105,26,0,0,0,0
0_0_2_2_4,2024-01-02 01:48:23,Success,0,0,2,2,4,835 PH,132,%/m obscuration,Degrees C,Invalid,106,29,0,0,0,0
0_0_3_3_4,2024-01-02 01:48:23,Success,0,0,3,3,4,835 PH,132,%/m obscuration,Degrees C,Invalid,109,28,0,0,0,0
0_0_4_4_4,2024-01-02 01:48:23,Success,0,0,4,4,4,835 PH,132,%/m obscuration,Degrees C,Invalid,104,25,0,0,0,0
0_0_5_5_4,2024-01-02 01:48:23,Success,0,0,5,5,4,835 PH,132,%/m obscuration,Degrees C,Invalid,111,32,0,0,0,0
0_0_1_1_1,2024-01-02 01:49:22,Success,0,0,1,1,1,850 PC,70,%/m obscuration,Degrees C,ppm (parts per million),100,27,7,0,0,0
0_0_2_2_1,2024-01-02 01:49:23,Success,0,0,2,2,1,850 PC,80,%/m obscuration,Degrees C,ppm (parts per million),105,28,10,0,0,0
0_0_3_3_1,2024-01-02 01:49:23,Success,0,0,3,3,1,850 PC,90,%/m obscuration,Degrees C,ppm (parts per million),104,28,12,0,0,0
0_0_4_4_1,2024-01-02 01:49:23,Success,0,0,4,4,1,850 PC,85,%/m obscuration,Degrees C,ppm (parts per million),103,24,7,0,0,0
0_0_5_5_1,2024-01-02 01:49:23,Success,0,0,5,5,1,850 PC,74,%/m obscuration,Degrees C,ppm (parts per million),102,33,8,0,0,0
0_0_6_6_1,2024-01-02 01:49:23,Success,0,0,6,6,1,850 PC,66,%/m obscuration,Degrees C,ppm (parts per million),106,33,6,39,0,0
0_0_7_7_1,2024-01-02 01:49:23,Success,0,0,7,7,1,850 PC,72,%/m obscuration,Degrees C,ppm (parts per million),110,31,5,0,0,0
0_0_8_8_1,2024-01-02 01:49:23,Failure,0,0,8,8,1,850 PC,80,%/m obscuration,Degrees C,ppm (parts per million),111,32,5,0,0,0
0_0_1_1_2,2024-01-02 01:49:23,Success,0,0,1,1,2,855 P,81,%/m obscuration,Invalid,Invalid,108,0,0,0,0,0
